lot,title,priority,photo_count,photo_review_status,source_photo_url,existing_photo_findings,market_research_status,required_next_checks,historical_unverified_low_usd,historical_unverified_high_usd,researched_low_usd,researched_high_usd,researched_max_hammer_usd
18453,"Lot including (1) Snap-On 3/4"" drive ratchet with approx. 36"" handle, (1) Snap-On 1"" drive ratchet w...",High,5,Batch 02: all catalog images reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/01e3b51da3ed6b44ba65/large,Oversized 3/4-inch and 1-inch Snap-On ratchets plus 1-inch breaker bar photographed on bare floor; heads show cosmetic wear and heavy handles. Ratchet head engagement and bar straightness cannot be confirmed visually.,Not researched,"Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",205,490,,,
18456,"Large lot of assorted grinding wheels, wire wheels, sanding wheels, (1) Makita, model GEO600, electr...",High,11,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/5e5e52874d5851ac9915/large,"Mixed bulk grinding/cutting consumables: Makita die grinder, assorted wire wheels, abrasive discs, mounted points and cut-off wheels in open boxes. Many loose or aging consumables; check expiration and wheel integrity; do not use damaged/unknown discs.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Identify defects and price necessary repairs | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18469,"(1) Central Pneumatic, item #92144, 1/4"" air die grinder, appears to be new, and (1) Blue Point 1/8""...",High,5,Original photos examined (10-lot full-image pass),https://d1ljvnrgb7j023.cloudfront.net/files/1/eae228edc8390a623ffa/large,Five original images examined. Central Pneumatic 1/4-inch die grinder in opened original box and Blue Point right-angle pencil grinder in blue packaging with bagged small accessories. Blue Point condition not proved new; inspect collet and air leaks.,Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify exact model, voltage, completeness and operation | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",35,90,,,
18470,"(1) MAC Tools, model AW234P, 3/8"" drive air impact tool, and (1) Ingersoll-Rand 3/8"" drive air impac...",High,7,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/e9a4bbb978171468532a/large,"Two older pneumatic impact wrenches pictured in one box, including a MAC Tools unit; both heavily used with worn housings and attached air hoses/fittings. Confirm both tools are included and test impact mechanism, direction switch and air leaks.",Not researched,"Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18477,"(1) Central Hydraulics, model 36397, 8-ton, round bottom, long ram hydraulic jack.",High,4,Original photos examined (10-lot full-image pass),https://d1ljvnrgb7j023.cloudfront.net/files/1/f4a867a90ee4a4d9ce87/large,"Four original images examined. Long orange 8-ton ram/hydraulic jack in original worn cardboard carton with printed instruction manual; jack body appears bagged and comparatively clean, but pressure seals and rated operation unverified.",Not researched,"Verify ratings, condition and applicable safety/title/pressure checks | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",50,140,,,
18478,"(1) 115V Lightnin, model L, electric paint mixer with (1) 20"", (1) 18"", and (1) 19"" metal tool box.",High,6,Original photos examined (10-lot full-image pass),https://d1ljvnrgb7j023.cloudfront.net/files/1/0f300fe20fecba244e40/large,"Six original images examined. Older Lightnin electric industrial clamp-on mixer with two paddle/agitator elements, power cord, clamp and two metal toolboxes nearby; significant chipped paint and no electrical test.",Not researched,"Verify exact model, voltage, completeness and operation | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",30,90,,,
18487,"(1) Ridgid brake line flaring tool, (3) various brake line bending tools, (1) Old Forge #7203, doubl...",High,10,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/0b08a3a5dbeb65ad1d70/large,"Several red cases of Ridgid and Blue Point double-flaring tools plus benders are photographed. Some molded cavities look empty, so count dies/collets and test clamps before resale.",Not researched,"Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",135,305,,,
18488,"(1) Blue Point #1020, screw extractor set with plastic case, (1) Blue Point, model PGH8A, 11-piece g...",High,9,Batch 03: contact sheet visually reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/1ef926dcffce67b38230/large,"Blue Point CTS561 23-piece fastener drive kit looks well populated in a black case; adjacent Blue Point PGH8A punch set and red screw extractor kit show some empty slots. A packaged butane pencil torch appears unused, though age/ignition are unknown. Verify all branded kit contents.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",135,325,,,
18513,"(1) TIF digital infrared photo tachometer with case, Blue Point non-contact infrared thermometer, an...",High,8,Batch 05: all source photographs inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/34a4cd2fbf38d007b09a/large,"Blue Point noncontact infrared thermometer in old blister packaging, orange handheld thermometer and digital pyrometer in black case. Untested electronics, batteries may be aged. Verify operation, accuracy and whether packaging contains the advertised units.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",75,220,,,
18514,"(1) Tool Aid quick change ratcheting terminal crimping kit, and assorted Blue Point wire pliers.",High,7,Batch 05: all source photographs inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/ae6b2e2cad30331a1557/large,"Multiple ratcheting terminal crimpers, Blue Point hand crimpers and red Tool Aid quick-change crimp kit with numerous interchangeable dies. Some case slots empty; verify each die and crimp range, and test ratchet return.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",100,275,,,
18522,"(2) Snap-On LED work light, 1 with tripod stand, 1 with handle, both in working condition.",High,4,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/e6c0fd8be32e8eea589b/large,"Both Snap-On LED worklights pictured have AC power cords; one has a tripod. Prior battery/charging assumption was incorrect. Catalog claims working; inspect cord insulation, switches and stands.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",70,170,,,
18551,"(1) Miller MP-65E welder, 230/460V, 3 phase, S/N JA358881, with a Miller Matic 30-E wire feed, welde...",High,9,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/c87bd9b06f182efe80d1/large,"Heavy blue Miller MP-65E three-phase welding power unit with separate Millermatic 30-E wire-feed box, cables and wheeled base; enamel heavily chipped with rust around top and wheels. Catalog explicitly says for parts or repair. Do not treat as working MIG/wire-feed equipment; labor, 3-phase supply and removal cost dominate.",Not researched,"Verify exact model, voltage, completeness and operation | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",100,315,,,
18575,"(1) Snap-On 6"" bench vise, currently mounted to bench, winning bidder responsible for proper dismoun...",High,6,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/57539bb880dfa65172d8/large,"Snap-On vise has clear widespread hammering/gouges and heavily marked replaceable jaw faces; visually rougher than generic used condition. Inspect jaw alignment, slide wear and casting cracks; lower previous premium-brand ceiling.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",110,275,,,
18597,"Large lot of standard heavy duty impact sockets, sizes 1 1/16"" up to 3 1/8"", and Snap-On 1"" to 3/4"" ...",High,11,Batch 02: all catalog images reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/7c524db523d4763f5215/large,"Large collection of heavy-duty impact sockets and truck hub sockets arranged on labeled wall boards, with widely varied finishes and some rust. Photos may include adjacent lots; count exactly which sockets transfer, verify sizes, cracks and transport.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Identify defects and price necessary repairs | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",120,360,,,
30-1331,"Snap-On Cummins Injector Adjustment Gauge, m#GA707",High,5,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/38105369d7f1c0da8821/large,"Snap-on GA3707 Cummins injector adjustment gauge kit in fitted black case with dial indicator, arms and instruction booklet; visible empty foam recesses suggest checking contents against GA3707 parts list. Dial movement/calibration and adapter completeness unverified.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18119,"(1) Ramco, model RS-90P, metal cutting band saw with approx. 16"" x 10"" cut area, S/N 12386, equipped...",Medium,10,Batch 02: all catalog images reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/5f4aecd1ea6d1013be6e/large,"Ramco RS-90P bandsaw and separate height-adjustable stock stand pictured, with Baldor single-phase-capable nameplate and spare Goodyear belt in the machine. Dirty chip tray and working condition unverified; inspect blade guides, vise, gearbox and straight cut under power.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",290,650,,,
18121,"(1) 22"" width x 35"" height x 18"" depth heavy duty steel cart with contents, including (1) hydraulic ...",Medium,7,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/bfd72c56ccf8d6b2a940/large,"Mixed industrial hydraulic cylinders/jacks, ram fittings, hoses and gauges on metal shelving/cart; several Enerpac-style blue/yellow components visible but individual brands unconfirmed. Unknown pressure ratings, leaks, seals and completeness; require model identification and pressure-safe testing.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify ratings, condition and applicable safety/title/pressure checks | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18132,"(1) Buffalo Tools extendable 3/8"" air hose reel with assorted lengths of various air hose.",Medium,4,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/11e153156cdfd947f661/large,"Buffalo Tools yellow enclosed retractable air-hose reel with large pile of older rubber air hose and metal couplers. Hose is tangled and multiple ends show dirt; check reel spring return, swivel seal leaks, cracks and coupler sizes before valuing as usable shop equipment.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",35,100,,,
18137,"Lot including (1) McCulloch gas powered chain saw with 20"" bar, bar cover, engine pulls through and ...",Medium,11,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/b989cdf2ea6819791bd8/large,"Long-bar older yellow McCulloch chain saw, separate yellow-shaft weed trimmer and dusty fuel can are in the photos. Both engines reportedly pull through with compression, but bar/chain and trimmer guard show heavy use. Verify fuel-system condition, cold starts, oiler and running behavior before paying functional used-tool prices.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Verify exact model, voltage, completeness and operation | Verify ratings, condition and applicable safety/title/pressure checks | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",75,200,,,
18139,"(1) Partner, model K700, Active III, approx. 12"" diameter gas powered concrete saw, engine pulls thr...",Medium,6,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/7049e3edcc3dc4075fb2/large,"Partner K700 Active III cut-off saw fitted with abrasive blade and full guard; housing, recoil handle and grip are present but uniformly dirty and scuffed. Catalog confirms compression only. Check cold starting, cylinder condition, clutch engagement and guard/blade mounting before an operational valuation.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify exact model, voltage, completeness and operation | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",180,480,,,
18143,"(1) approx. 32"" pipe wrench, and (1) heavy duty chain style pipe wrench.",Medium,5,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/4052ceade82b556e9d46/large,"Two large, heavily used pipe wrenches including chain-style wrench; chipped paint, oxidized steel and jaw wear visible. Inspect chain links, teeth and adjusters.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify ratings, condition and applicable safety/title/pressure checks | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18153,"(1) RN, model 52PY 6/12/24V battery charger-100/80/50 amp, S/N 7241, includes jumper cables, working...",Medium,5,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/c8bed59489cc72812945/large,"Large vintage red 6/12/24-volt RN wheeled charger/booster photographed with tall metal cabinet, analog ammeter and substantial clip leads. Faceplate identifies 100/80/50 charge settings and a 550-amp boost rating; cord and leads look weathered. Seller does not claim tested operation; verify isolation, clamps and output electrically before use.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify exact model, voltage, completeness and operation | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",105,290,,,
18158,"(1) Craftsman, model 113.29943, 10"" table saw (120V, 3 phase input) with a 40"" width x 27"" depth tab...",Medium,9,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/e4fd4049eabfedb853e5/large,"Vintage Craftsman 113-series cast-iron table saw with fence, guard components and angle gauge photographed under thick dust. Front tilt scale/window appears weathered and metal surfaces oxidized. Catalog input description is contradictory (120V, 3-phase); verify actual motor tag before bidding, plus arbor bearings, tabletop flatness and fence parallelism.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",115,285,,,
18160,"(1) 30-gallon grease pump with ARO air powered pump, and hose (no grease gun).",Medium,4,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/b0c2134d98974b7dc375/large,"Red cylindrical grease reservoir with ARO pneumatic pump and coiled hose. Paint worn, dusty and hose aged; no dispensing gun visible. Test pump and pressure safety.",Not researched,"Verify exact model, voltage, completeness and operation | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18161,"Lot of (2) approx. 30-gallon grease pumps with (1) ARO air powered pump, and (1) make and model unk...",Medium,6,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/0d38aea8bf7cb90f35f7/large,"Two large used grease-dispensing reservoirs, one Kendall-branded, with pneumatic pump assemblies and hoses. Dirt and corrosion visible; inspect seals, pump operation and missing dispensing fittings.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Verify exact model, voltage, completeness and operation | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18163,"(1) Multiquip, model GA-6RZ, 5500 watt, portable generator, with a Wisconsin, model WI-390, gas engi...",Medium,8,Batch 02: all catalog images reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/8e96efcc06e25b8c7553/large,"Orange MQ Multiquip GA-6RZ framed generator with Wisconsin Robin petrol engine looks substantially assembled, weathered and dusty, controls visible. Badge indicates 5500W panel despite 6000 case marking; function/output wholly untested.",Not researched,"Verify exact model, voltage, completeness and operation | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",245,530,,,
18165,"Lot of power tools, includes (1) Rota-Speed 230/9"" metal cutting circular saw, (1) Ramset Dyna Drill...",Medium,9,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/6ec43313ab7fd0a70f1b/large,"Mixed three-piece corded tool assortment: Rota-Speed metal-cutting saw, orange Ramset Dyna Drill rotary hammer and older silver power tool in rusty steel case, plus drill bits. Several cables and housings show wear; all untested. Identify the third tool, inspect insulation/chucks and test each tool separately before selling as functional.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Verify exact model, voltage, completeness and operation | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",130,365,,,
18168,"Lot including (6) various ratcheting chain binders, and (5) mechanical chain binders, also a block p...",Medium,6,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/855c24ce3d3deb278ae8/large,"An assortment of around eleven old ratchet and over-center chain binders plus heavy chain and a snatch block appears spread across a pallet. Heavy oxidation, dirt and mixed unlabeled components. Count functional binder threads and hooks; avoid assuming hooks and chain have compatible safe working loads.",Not researched,"Count exact included models, quantities and accessories | Verify ratings, condition and applicable safety/title/pressure checks | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",150,420,,,
18186,"(1) hydraulic portable wheel cart, appears to be in working condition.",Medium,4,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/60f947a8c7eb4ac3ef49/large,Yellow narrow portable wheel dolly with hand crank/jack linkage and two long wheel support legs photographed from four angles. Frame and hydraulic-looking actuator show considerable dirt and scraped paint; caster/wheel function and load capacity unverified. Test hydraulic hold and actual tire width compatibility.,Not researched,"Verify ratings, condition and applicable safety/title/pressure checks | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",85,220,,,
18188,"Lot including (2) make and model unknown 3/8"" capacity electric drills, (1) Black &amp; Decker, mode...",Medium,12,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/b822614f2dfedde1d85d/large,"Mixed older corded tools including Milwaukee Magnum Hole-Shooter drill, Black & Decker circular saw and other corded drills. Several cords are coiled/aged and housings dirty. Test each separately, check guards and electrical safety; lot tags in adjacent background are not included.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Verify exact model, voltage, completeness and operation | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18191,"(1) K.R. Wilson, model 6050B, flat head cylinder head cutter valve, 1940S with wood case and paperwo...",Medium,5,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/0a7fa8e812607cd79283/large,"Vintage K.R. Wilson 6050B cast-iron cylinder-head valve-seat cutter fixture and several machined adapters displayed in weathered gray wooden case. Casting marks and machined steel pieces visible, but no clear proof of complete specialist kit. Demand is niche: check compatible cutter sizes and missing bits before setting resale price.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify ratings, condition and applicable safety/title/pressure checks | Identify defects and price necessary repairs | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",70,235,,,
18194,"(1) Bench mount 4"" hand grinder, and (1) manual bench mount drill with steel case.",Medium,6,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/db5c14def7ec74342379/large,"Red metal box containing geared hand-operated metalworking mechanism and separate bench-mounted circular hand-crank tool. Identity, accessories and operating condition unclear; gears appear present but application must be identified before assigning value.",Not researched,"Verify exact model, voltage, completeness and operation | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18200,"Lot including (1) Ramset air actuated tool with steel case, (1) Ramset 610 Dyna drill with bits, ste...",Medium,7,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/ce4d0eb7f4d9aafcd43b/large,"Mixed Ramset powder-actuated fastening tools, assorted Dynabolt/fastener boxes and accessories. Tool condition and exact contents unknown; potential restricted explosive cartridges among old stock. Verify permitted transfer, missing guards and model compatibility before any resale or use.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Verify exact model, voltage, completeness and operation | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18202,"(1) Solar, model 660, Fleet 6/12/24V battery charger/starter, working condition unknown.",Medium,8,Batch 04: visually inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/661a046c4fd3b2960dfa/large,"Older black Solar 660 Fleet wheeled 6/12/24V charger with large transformer body and rear vents; meter/switches visible, cable bundle on handle. Exterior is dirty and knob condition appears aged. Function explicitly unknown; check output on all voltage selections, cable insulation and high-current clamp safety.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify exact model, voltage, completeness and operation | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",130,350,,,
18203,(1) manual hydraulic ram tool with steel case.,Medium,5,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/6052b48378e628ad46a0/large,"Manual hydraulic ram/porta-power tool in black steel case with red hand pump, ram, fittings and adapters. Multiple fitted recesses visible; verify accessory completeness, seals and pump pressure.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify ratings, condition and applicable safety/title/pressure checks | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18204,Entire shelf of various large wrenches and spanner wrenches.,Medium,8,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/8e92f85de50dc5a171b5/large,"Assorted oversized industrial open-end, box-end and hook/spanner wrenches, large sockets and long handled specialty tools on wooden pallet. Mixed wear, corrosion and uncertain maker marks; measure sizes and check cracks, bends and application-specific demand.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18205,"(1) make and model unknown, 120V, single phase MAG drill with wood case, working condition unknown.",Medium,5,Batch 05: all source photographs inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/aaa6bbb127fd8b6ec935/large,"Large magnetic drill with heavy chained stand and worn red base; chuck visible but bit accessories and functioning magnet are not demonstrated. Inspect drill spindle, stand, safety chain, magnet hold and 120V wiring before use.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify exact model, voltage, completeness and operation | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",180,480,,,
18206,"Lot including (1) make and model unknown heavy duty drill with Jacobs 3/4"" capacity chuck, (1) Milwa...",Medium,5,Batch 05: all source photographs inspected,https://d1ljvnrgb7j023.cloudfront.net/files/1/59b098f802d0ecb07faa/large,Two older corded right-angle or pistol-grip drills and a group of long auger bits pictured. Dusty metal housings and cord wear possible. Test under load and verify bit shanks; no assumption of industrial resale from appearance alone.,Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Verify exact model, voltage, completeness and operation | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",65,175,,,
18212,"Lot including (3) Motorola Radius 2-way radios with (1) Regency monitor radio/scanner, (1) Motorola ...",Medium,7,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/7b7f9e55327c75ba3f9d/large,"Mixed Motorola Radius and Regency radio/scanner equipment with chargers/base units and handheld devices. Aged and dusty; verify model, batteries, programming frequencies and legal operating compatibility.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Verify exact model, voltage, completeness and operation | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18215,"(1) make and model unknown radial arm drill with approx. 48"" arm, approx. 12"" x 84"" column, 25.5"" wi...",Medium,13,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/328f6ce29b83dd9e29f4/large,"Large stationary radial-arm drilling machine with heavy cast base/table, chuck, electrical controls and assorted large drill bits pictured. Considerable grime and surface corrosion; three-phase electrical requirements, spindle play, feed and removal/rigging must be verified. No operational evidence.",Not researched,"Verify exact model, voltage, completeness and operation | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
18216,"(1) Gardner-Denver, model ADD-608961011, approx. 60-gallon capacity air compressor with a 230/460V, ...",Medium,5,40-lot verified batch 01: contact sheet reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/113d83bad261cf01b522/large,"Corrected photos show a green Gardner-Denver-style compressor on a horizontal tank and a Lincoln nameplate identifying 3-phase 230/460V. Surface oxidation/dust visible; verify motor, tank integrity and air output before removal.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Verify ratings, condition and applicable safety/title/pressure checks | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",185,450,,,
18217,Large lot of assorted ratchet straps and tow straps.,Medium,8,Batch 03: contact sheet visually reviewed,https://d1ljvnrgb7j023.cloudfront.net/files/1/af361ed8017809e12bcf/large,"Yellow and tan flatbed ratchet and tow straps show obvious dirt, fraying risk at fold points and faded webbing; multiple ratchet handles and hooks are visible. Treat older or unreadably rated straps as non-load-bearing until inspected; do not price at the value of new certified straps.",Not researched,"Resolve identity/condition using existing source originals or in-person inspection | Count exact included models, quantities and accessories | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",45,130,,,
18280,"Lot of assorted heavy duty truck parts, includes set of 16"" diameter drums, Meritor brake disc, (4) ...",Medium,9,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/ec387bfea67f6d74a590/large,"Pallet of heavy truck brake drums, discs and related metal components; rusty and unidentified fitment.",Not researched,"Count exact included models, quantities and accessories | Identify defects and price necessary repairs | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",0,160,,,
18282,"Lot of (8) assorted heavy duty motors, includes 25, 20, and 5 HP, and more, all motors are for parts...",Medium,7,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/4d28ba811ad88d670f49/large,"Pallet of several heavy industrial electric motors, aged and dusty; catalog explicitly parts/repair, no working assumption.",Not researched,"Count exact included models, quantities and accessories | Verify exact model, voltage, completeness and operation | Identify defects and price necessary repairs | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",0,300,,,
18286,"Lot of assorted hand saws, includes bow saws, 64"" 2-man saw, and more.",Medium,4,Inspected (contact sheet),https://d1ljvnrgb7j023.cloudfront.net/files/1/fc48a0c038fec3fcb82c/large,Mixed large manual hand saws and long two-person saws on pallet; rusted teeth and worn handles.,Not researched,"Count exact included models, quantities and accessories | Identify defects and price necessary repairs | Estimate removal, freight and local resale constraints | Locate dated exact-model completed sales; adjust for quantity, condition and selling venue | Calculate net margin and conditional hammer ceiling only after evidence",,,,,
