"lot","internal_id","title","description","category","snapshot_bid_usd","photo_count","close_utc","indicative_resale_low_usd","indicative_resale_high_usd","conditional_max_hammer_usd","risk_flags","review_note","review_status","first_photo_url","photo_review_status","photo_findings","photo_review_sheet","historical_unverified_resale_low_usd","historical_unverified_resale_high_usd","historical_unverified_max_hammer_usd","market_research_status","market_evidence_urls","market_research_notes","market_research_date_utc","priority"
"18154","1705154","Lot of assorted hammers, mallets, and sledgehammers.","Lot of assorted hammers, mallets, and sledgehammers.","General industrial surplus","5","6","2026-09-29T22:00:00Z","","","","","Generic catalog triage only. Inspect details and likely demand before selecting a maximum bid.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/290b204ee4e6049fc012/large","Inspected (contact sheet)","Bulk pile of mixed hammers, long metal handles, mallets and specialty striking tools. Numerous oxidized heads and assorted loose parts; verify count and handle attachment.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18156","1705155","Large lot of assorted pipe threading and cutting tools, including dies, pipe cutters, (1) reamer, va...","Large lot of assorted pipe threading and cutting tools, including dies, pipe cutters, (1) reamer, various handles, and miscellaneous other equipment.","Bulk materials and racking","5","4","2026-09-29T22:00:00Z","","","","","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Several pipe cutters, die heads and long threading handles are visible with substantial surface oxidation. This is a mixed working-parts assortment rather than a confirmed complete threading kit.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/ef9db441f4f94e83fbed/large","40-lot verified batch 01: contact sheet reviewed","Several pipe cutters, die heads and long threading handles are visible with substantial surface oxidation. This is a mixed working-parts assortment rather than a confirmed complete threading kit.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","85","235","30","Not researched","","","","Low"
"18157","1705156","Lot of assorted torch related items, includes (1) pair of Radnor insulated welding gloves, item #640...","Lot of assorted torch related items, includes (1) pair of Radnor insulated welding gloves, item #64057664, various regulator parts, torch tips, (1) Victor, model 00-W, welding nozzle, (1) oxygen/acetylene torch, and miscellaneous other items.","Welding and gas","5","7","2026-09-29T22:00:00Z","","","","","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Victor-related torch tips, one boxed consumable, regulators/gauges, and gloves are visible. Regulator age/function and component completeness are unknown; do not assume ready-to-use fuel-gas equipment.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/4b80ac8f2fc33e45fd20/large","40-lot verified batch 01: contact sheet reviewed","Victor-related torch tips, one boxed consumable, regulators/gauges, and gloves are visible. Regulator age/function and component completeness are unknown; do not assume ready-to-use fuel-gas equipment.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","55","145","18","Not researched","","","","Low"
"18158","1705157","(1) Craftsman, model 113.29943, 10"" table saw (120V, 3 phase input) with a 40"" width x 27"" depth tab...","(1) Craftsman, model 113.29943, 10"" table saw (120V, 3 phase input) with a 40"" width x 27"" depth table, fence, guard, and angle tool, working condition unknown, unit is untested.","General shop tools","5","9","2026-09-29T22:00:00Z","","","","Function unverified; Industrial power","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Vintage Craftsman 113-series cast-iron table saw with fence, guard components and angle gauge photographed under thick dust. Front tilt scale/window appears weathered and metal surfaces oxidized. Catalog input description is contradictory (120V, 3-phase); verify actual motor tag before bidding, plus arbor bearings, tabletop flatness and fence parallelism.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/e4fd4049eabfedb853e5/large","Batch 04: visually inspected","Vintage Craftsman 113-series cast-iron table saw with fence, guard components and angle gauge photographed under thick dust. Front tilt scale/window appears weathered and metal surfaces oxidized. Catalog input description is contradictory (120V, 3-phase); verify actual motor tag before bidding, plus arbor bearings, tabletop flatness and fence parallelism.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","115","285","32","Not researched","","","","Medium"
"18159","1705158","(1) make and model unknown air powered, portable truck jack, capacity is unknown (label is illegible...","(1) make and model unknown air powered, portable truck jack, capacity is unknown (label is illegible).","General industrial surplus","5","6","2026-09-29T22:00:00Z","","","","","Generic catalog triage only. Inspect details and likely demand before selecting a maximum bid.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/14b9cc4929e50955bd28/large","Inspected (contact sheet)","Tall wheeled pneumatic floor jack or lifting device with Milton-branded air fittings and large rectangular base; pressure/lifting rating not readable. Rust and paint wear present. Verify exact purpose, seals, hoses, safety mechanism and capacity before using.","Temporary GitHub Actions artifact; visual-review-batch-06-partial.md","","","","Not researched","","","","Low"
"18160","1705159","(1) 30-gallon grease pump with ARO air powered pump, and hose (no grease gun).","(1) 30-gallon grease pump with ARO air powered pump, and hose (no grease gun).","Power and hydraulics","5","4","2026-09-29T22:00:00Z","","","","Fluids/storage","Function, leaks, motor condition and parts availability not independently verified.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/b0c2134d98974b7dc375/large","All originals inspected 2026-09-25 (personal-use pass)","All 4 originals viewed 2026-09-25: smaller worn red grease drum with silver ARO air-operated pump, looped hoses and grease staining. No grease dispensing gun visibly attached; pump and hose condition unknown, inspect contamination.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Medium"
"18161","1705160","Lot of (2) approx. 30-gallon grease pumps with (1) ARO air powered pump, and (1) make and model unk...","Lot of (2) approx. 30-gallon grease pumps with (1) ARO air powered pump, and (1) make and model unknown crank-style pump, includes cart.","Power and hydraulics","5","6","2026-09-29T22:00:00Z","","","","Fluids/storage","Function, leaks, motor condition and parts availability not independently verified.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/0d38aea8bf7cb90f35f7/large","Inspected (contact sheet)","Two large used grease-dispensing reservoirs, one Kendall-branded, with pneumatic pump assemblies and hoses. Dirt and corrosion visible; inspect seals, pump operation and missing dispensing fittings.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Medium"
"18162","1705161","(1) make and model unknown portable blast pot with nozzle, and approx. 10' of hose, working conditio...","(1) make and model unknown portable blast pot with nozzle, and approx. 10' of hose, working condition unknown.","General industrial surplus","5","5","2026-09-29T22:00:00Z","","","","Function unverified","Generic catalog triage only. Inspect details and likely demand before selecting a maximum bid.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/e827b0c9c1b90910f8c9/large","Inspected (contact sheet)","Blue portable blast pot with hose, nozzle and valve assembly. Exterior wear and grime; inspect pressure vessel, hoses, dead-man control and nozzle before pressurizing.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18163","1705162","(1) Multiquip, model GA-6RZ, 5500 watt, portable generator, with a Wisconsin, model WI-390, gas engi...","(1) Multiquip, model GA-6RZ, 5500 watt, portable generator, with a Wisconsin, model WI-390, gas engine, working condition unknown.","Power and hydraulics","5","8","2026-09-29T22:00:00Z","","","","Function unverified","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Orange MQ Multiquip GA-6RZ framed generator with Wisconsin Robin petrol engine looks substantially assembled, weathered and dusty, controls visible. Badge indicates 5500W panel despite 6000 case marking; function/output wholly untested.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/8e96efcc06e25b8c7553/large","Batch 02: all catalog images reviewed","Orange MQ Multiquip GA-6RZ framed generator with Wisconsin Robin petrol engine looks substantially assembled, weathered and dusty, controls visible. Badge indicates 5500W panel despite 6000 case marking; function/output wholly untested.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","245","530","70","Not researched","","","","Medium"
"18164","1705163","Large lot of assorted chain, includes (2) buckets of tire chains.","Large lot of assorted chain, includes (2) buckets of tire chains.","Tires and wheels","5","6","2026-09-29T22:00:00Z","","","","Safety inspection","Do not assume lifting rating. Inspect safety tags, hooks and damaged chain before any use.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/f8dd9111b8c7d59853ed/large","Inspected (contact sheet)","Large mixed assortment of hanging industrial chains, hooks and buckets of loose chain in varied sizes, visibly oxidized. No legible working-load-limit tags or grades in photos; do not use for overhead lifting absent verified ratings and inspection. Weigh/measure for non-lifting resale or scrap.","Temporary GitHub Actions artifact; visual-review-batch-06-partial.md","","","","Not researched","","","","Low"
"18165","1705164","Lot of power tools, includes (1) Rota-Speed 230/9"" metal cutting circular saw, (1) Ramset Dyna Drill...","Lot of power tools, includes (1) Rota-Speed 230/9"" metal cutting circular saw, (1) Ramset Dyna Drill, model 325, and (1) make/model unknown heavy duty electric hammer drill with steel case and assorted bits, working conditions are unknown.","Bulk materials and racking","5","9","2026-09-29T22:00:00Z","","","","Removal/loading","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Mixed three-piece corded tool assortment: Rota-Speed metal-cutting saw, orange Ramset Dyna Drill rotary hammer and older silver power tool in rusty steel case, plus drill bits. Several cables and housings show wear; all untested. Identify the third tool, inspect insulation/chucks and test each tool separately before selling as functional.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/6ec43313ab7fd0a70f1b/large","Batch 04: visually inspected","Mixed three-piece corded tool assortment: Rota-Speed metal-cutting saw, orange Ramset Dyna Drill rotary hammer and older silver power tool in rusty steel case, plus drill bits. Several cables and housings show wear; all untested. Identify the third tool, inspect insulation/chucks and test each tool separately before selling as functional.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","130","365","52","Not researched","","","","Medium"
"18166","1705165","Lot including (1) Harrington 2-ton capacity, (1) Haul Master 3/4-ton capacity, and (1) Yale 1.5-ton ...","Lot including (1) Harrington 2-ton capacity, (1) Haul Master 3/4-ton capacity, and (1) Yale 1.5-ton capacity Shop King lever hoist.","Rigging and towing","5","10","2026-09-29T22:00:00Z","","","","Safety inspection","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Three branded lever hoists photographed, including a Harrington labeled 2 ton, Yale 1.5 ton and Haul-Master 3/4 ton. Hooks and chains look used and some hook safety latches are not apparent in small photos. Inspected lifting certification required.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/657d4cc707ae1a52359d/large","40-lot verified batch 01: contact sheet reviewed","Three branded lever hoists photographed, including a Harrington labeled 2 ton, Yale 1.5 ton and Haul-Master 3/4 ton. Hooks and chains look used and some hook safety latches are not apparent in small photos. Inspected lifting certification required.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","105","280","35","Not researched","","","","Low"
"18167","1705166","Large lot of assorted heavy duty lift hooks, shackles, (1) block pulley, and miscellaneous other ite...","Large lot of assorted heavy duty lift hooks, shackles, (1) block pulley, and miscellaneous other items.","General industrial surplus","5","8","2026-09-29T22:00:00Z","","","","Removal/loading","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Large spread of heavy hooks, numerous assorted screw-pin shackles, some oversized clevises, block pulley and lift brackets in several contact-sheet angles. Mixed finishes and visible corrosion, no uniform capacity tags or certifications. Treat everything as unverified salvage until individually identified and inspected; no overhead lifting use as found.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/6f0684d28fb637a2c090/large","Batch 04: visually inspected","Large spread of heavy hooks, numerous assorted screw-pin shackles, some oversized clevises, block pulley and lift brackets in several contact-sheet angles. Mixed finishes and visible corrosion, no uniform capacity tags or certifications. Treat everything as unverified salvage until individually identified and inspected; no overhead lifting use as found.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","110","350","38","Not researched","","","","Low"
"18168","1705167","Lot including (6) various ratcheting chain binders, and (5) mechanical chain binders, also a block p...","Lot including (6) various ratcheting chain binders, and (5) mechanical chain binders, also a block pulley, and assorted chain.","Rigging and towing","5","6","2026-09-29T22:00:00Z","","","","Safety inspection","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. An assortment of around eleven old ratchet and over-center chain binders plus heavy chain and a snatch block appears spread across a pallet. Heavy oxidation, dirt and mixed unlabeled components. Count functional binder threads and hooks; avoid assuming hooks and chain have compatible safe working loads.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/855c24ce3d3deb278ae8/large","Batch 04: visually inspected","An assortment of around eleven old ratchet and over-center chain binders plus heavy chain and a snatch block appears spread across a pallet. Heavy oxidation, dirt and mixed unlabeled components. Count functional binder threads and hooks; avoid assuming hooks and chain have compatible safe working loads.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","150","420","56","Not researched","","","","Medium"
"18169","1705168","Lot of (2) unused 20' sections of chain with 3/8"" hook on either side.","Lot of (2) unused 20' sections of chain with 3/8"" hook on either side.","Rigging and towing","5","5","2026-09-29T22:00:00Z","","","","Safety inspection","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Two coils of nominally unused 20-foot hooked chain photographed, with bright steel finishes and loose factory tags. Hook stamping appears grade-marked but exact chain grade/working load must be checked; do not use as certified overhead lifting equipment.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/887b8e57c72eabe9ae99/large","Batch 02: all catalog images reviewed","Two coils of nominally unused 20-foot hooked chain photographed, with bright steel finishes and loose factory tags. Hook stamping appears grade-marked but exact chain grade/working load must be checked; do not use as certified overhead lifting equipment.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","80","190","32","Not researched","","","","Low"
"18170","1705169","Lot of (2) unused 20' sections of chain with 3/8"" hook on either side.","Lot of (2) unused 20' sections of chain with 3/8"" hook on either side.","Rigging and towing","5","5","2026-09-29T22:00:00Z","","","","Safety inspection","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Two separate hooked chain coils, one visibly dark and one brighter; tag and hook close-up shown. Exact grade, length and working load not proven by image; inspect every hook/link before any tow service.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/92884200907b4f9fb30b/large","Batch 02: all catalog images reviewed","Two separate hooked chain coils, one visibly dark and one brighter; tag and hook close-up shown. Exact grade, length and working load not proven by image; inspect every hook/link before any tow service.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","80","190","32","Not researched","","","","Low"
"18171","1705170","Lot of (2) unused 20' sections of chain with 3/8"" hook on either side.","Lot of (2) unused 20' sections of chain with 3/8"" hook on either side.","Rigging and towing","5","5","2026-09-29T22:00:00Z","","","","Safety inspection","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Two unused-looking coiled hooked chains with visible manufacturer-style hook stamps. Similar to adjacent lots but confirmed separate tag 18171; verify grade, diameter and no bent links.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/226c9c2402951161ffaa/large","Batch 02: all catalog images reviewed","Two unused-looking coiled hooked chains with visible manufacturer-style hook stamps. Similar to adjacent lots but confirmed separate tag 18171; verify grade, diameter and no bent links.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","80","190","32","Not researched","","","","Low"
"18172","1705171","Lot of (2) unused 20' sections of chain with 3/8"" hook on either side.","Lot of (2) unused 20' sections of chain with 3/8"" hook on either side.","Rigging and towing","5","5","2026-09-29T22:00:00Z","","","","Safety inspection","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Two separate coiled hooked chains, one with lighter zinc-colored finish; hook close-up appears marked. Verify chain grade and working load rather than assuming hook stamp proves all components.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/34b7069f2d81c03d3198/large","Batch 02: all catalog images reviewed","Two separate coiled hooked chains, one with lighter zinc-colored finish; hook close-up appears marked. Verify chain grade and working load rather than assuming hook stamp proves all components.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","80","190","32","Not researched","","","","Low"
"18173","1705172","(1) DeWalt, model DCGG571, 20V, rechargeable, cordless grease gun with (2) battery chargers (batteri...","(1) DeWalt, model DCGG571, 20V, rechargeable, cordless grease gun with (2) battery chargers (batteries not included), and (1) case of Shell Gadus S3 V46OXD2 multi-purpose grease.","General industrial surplus","5","5","2026-09-29T22:00:00Z","","","","Incomplete/defective per catalog; Fluids/storage","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. DeWalt grease gun, black case, chargers and Shell grease are visible. Catalog says no batteries; no powered-operation evidence in images, and condition is dusty.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/911ea87ba926c5e3b797/large","40-lot verified batch 01: contact sheet reviewed","DeWalt grease gun, black case, chargers and Shell grease are visible. Catalog says no batteries; no powered-operation evidence in images, and condition is dusty.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","60","140","25","Not researched","","","","High"
"18174","1705173","(1) CLS Super Mite rotary laser level with a rod eye, and (2) model 9907 Accu-Sensors, includes alum...","(1) CLS Super Mite rotary laser level with a rod eye, and (2) model 9907 Accu-Sensors, includes aluminum tripod, and measuring stick, and (1) Apache Bullseye 3 Plus with measuring stick, and case, working conditions are unknown, units are untested.","General industrial surplus","5","7","2026-09-29T22:00:00Z","","","","Function unverified","Generic catalog triage only. Inspect details and likely demand before selecting a maximum bid.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/3079ddc7fddd25bf95dc/large","Inspected (contact sheet)","CLS Super Mite rotary laser with sensor accessories, measuring rods and cases. Dusty and aged; battery compartments, calibration, laser rotation and detector function untested.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18175","1705174","Lot including (1) Lasco Auto, model L1-A5, rotary laser, and (1) Lasco, model L2, rotary laser, both...","Lot including (1) Lasco Auto, model L1-A5, rotary laser, and (1) Lasco, model L2, rotary laser, both with cases, working conditions unknown, includes measuring stick and aluminum tripod.","General industrial surplus","5","9","2026-09-29T22:00:00Z","","","","","Generic catalog triage only. Inspect details and likely demand before selecting a maximum bid.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/633fe36193ac9aa4b99a/large","Inspected (contact sheet)","Multiple older Lasco rotary lasers, red fitted case and sensor/control accessories; at least two main laser units pictured. Cases show wear; check battery corrosion, chargers, leveling and calibration.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18176","1705175","(1) Leica Rugby 280DG rotary laser with padded case, aluminum tripod, and measuring stick, lot also ...","(1) Leica Rugby 280DG rotary laser with padded case, aluminum tripod, and measuring stick, lot also includes a Rugby MR remote, and a Leica rod eye plus receiver.","General industrial surplus","5","5","2026-09-29T22:00:00Z","","","","","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Yellow Leica Rugby 280DG instrument, aluminum tripod, receiver/controller accessories and leveling staff are photographed crowded on shelf. No powered-on or calibration photograph. Check complete parts, receiver function and slope/leveling accuracy.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/67141a08ee70e5dab56b/large","Batch 02: all catalog images reviewed","Yellow Leica Rugby 280DG instrument, aluminum tripod, receiver/controller accessories and leveling staff are photographed crowded on shelf. No powered-on or calibration photograph. Check complete parts, receiver function and slope/leveling accuracy.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","235","660","80","Not researched","","","","Low"
"18177","1705176","(1) vintage brass and bronze surveyors transit with (2) wood leg/steel frame tripods.","(1) vintage brass and bronze surveyors transit with (2) wood leg/steel frame tripods.","Bulk materials and racking","5","4","2026-09-29T22:00:00Z","","","","","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Vintage brass/bronze surveyors transit stands inside painted wooden transport cabinet with a cluster of older wooden tripods nearby. Metal appears oxidized and glass/optics not visibly testable. Confirm two tripods and complete tripod hardware are actually in lot and check optics, leveling screws and collector interest.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/2dcc0d0600af61dd5a8b/large","Batch 04: visually inspected","Vintage brass/bronze surveyors transit stands inside painted wooden transport cabinet with a cluster of older wooden tripods nearby. Metal appears oxidized and glass/optics not visibly testable. Confirm two tripods and complete tripod hardware are actually in lot and check optics, leveling screws and collector interest.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","90","270","32","Not researched","","","","Low"
"18178","1705177","(1) make and model unknown surveyors transit with wood case, (1) wood tripod, (1) aluminum tripod, a...","(1) make and model unknown surveyors transit with wood case, (1) wood tripod, (1) aluminum tripod, and (1) measuring tool.","General shop tools","5","6","2026-09-29T22:00:00Z","","","","","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Black vintage surveyor transit housed in wooden protective case, with aluminum and wood tripods/marked measuring staff leaning nearby. The optical sight, adjusting screws and case are pictured but condition/accuracy untested. Check crack-free optics and that all catalog-specified accessories are included.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/036486880cf6f4fe20c7/large","Batch 04: visually inspected","Black vintage surveyor transit housed in wooden protective case, with aluminum and wood tripods/marked measuring staff leaning nearby. The optical sight, adjusting screws and case are pictured but condition/accuracy untested. Check crack-free optics and that all catalog-specified accessories are included.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","85","235","27","Not researched","","","","Low"
"18179","1705178","(1) vintage brass and bronze surveyors transit (cracked glass) with wood case, aluminum tripod, and ...","(1) vintage brass and bronze surveyors transit (cracked glass) with wood case, aluminum tripod, and measuring stick.","Bulk materials and racking","5","6","2026-09-29T22:00:00Z","","","","","Measure usable quantity; calculate dismantling, loading, transport and storage before bidding.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/dea95bc06ad83c82da42/large","Inspected (contact sheet)","Vintage metal survey transit with wooden box, tripod and long leveling rod. Oxidized brass/metal, aged case; catalog reports cracked glass. Optical and mechanical restoration risk.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18180","1705179","(1) Laser Alignment, Inc., laser receiver with mounting bracket and case, in working condition, (1) ...","(1) Laser Alignment, Inc., laser receiver with mounting bracket and case, in working condition, (1) Apache Bullseye III laser receiver, for parts only, with case, and (2) measuring sticks.","Bulk materials and racking","5","18","2026-09-29T22:00:00Z","","","","","UNVERIFIED EARLIER HEURISTIC—NOT A RESEARCHED MARKET VALUE OR BID RECOMMENDATION. Eighteen verified images show a working-listed yellow Laser Alignment receiver in yellow case and a separate red Apache Bullseye III receiver marked for parts only, plus tall measuring staffs. The yellow device has weathered reading window, battery compartment and bracket; no live level check shown. Do not price the red Apache as functional.","Market research pending; previous heuristic withdrawn; photo review status retained","https://d1ljvnrgb7j023.cloudfront.net/files/1/88976300bcab665102c3/large","Batch 04: visually inspected","Eighteen verified images show a working-listed yellow Laser Alignment receiver in yellow case and a separate red Apache Bullseye III receiver marked for parts only, plus tall measuring staffs. The yellow device has weathered reading window, battery compartment and bracket; no live level check shown. Do not price the red Apache as functional.","Temporary full-auction artifact orbitbid-1879-photos; see original visual-review-batch report","140","385","54","Not researched","","","","Low"
"18181","1705180","Lot including (3) approx. 22"" diameter, 10-lug rims, (5) 22"" x 12"" rings, and (1) 18"" x 3.5"" ring.","Lot including (3) approx. 22"" diameter, 10-lug rims, (5) 22"" x 12"" rings, and (1) 18"" x 3.5"" ring.","Tires and wheels","5","7","2026-09-29T22:00:00Z","","","","","Confirm sizing, date code, sidewall condition and usable tread; heavy local pickup costs.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/11fc7b5da23016626276/large","Inspected (contact sheet)","Three large heavy-truck steel rims and several separate locking/rim rings. Surface rust and grime; measure exact bead/rim profiles and inspect cracks. Multi-piece wheel components pose severe assembly hazards.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18182","1705181","Lot of (4) various size 385/65R 22.5 tubeless tires with 10-lug rims.","Lot of (4) various size 385/65R 22.5 tubeless tires with 10-lug rims.","Tires and wheels","5","9","2026-09-29T22:00:00Z","","","","","Confirm sizing, date code, sidewall condition and usable tread; heavy local pickup costs.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/f1ee8d6f730b39399ce4/large","Inspected (contact sheet)","Four very worn large truck tires mounted on steel rims; tread worn unevenly and sidewalls dirty. Inspect DOT dates, casing damage and wheel corrosion; low confidence in roadworthy resale.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18183","1705182","Lot of (3) various size 285/75R 245, and (1) size 10.00-20 tires with rings.","Lot of (3) various size 285/75R 245, and (1) size 10.00-20 tires with rings.","Tires and wheels","5","6","2026-09-29T22:00:00Z","","","","","Confirm sizing, date code, sidewall condition and usable tread; heavy local pickup costs.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/88e309b6423f2b62f294/large","Inspected (contact sheet)","Mixed large truck tires, several unmounted; one visibly severely worn or chunked tread. Verify actual sizes, bead/ring condition and disposal cost before bidding.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18184","1705183","Lot of (5) various size 275/70R 22.5 tires with 10-lug rims.","Lot of (5) various size 275/70R 22.5 tires with 10-lug rims.","Tires and wheels","5","10","2026-09-29T22:00:00Z","","","","","Confirm sizing, date code, sidewall condition and usable tread; heavy local pickup costs.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/7ff8ce630e28bacf0ecc/large","Inspected (contact sheet)","Five heavy-truck tires on steel rims, mixed visible tread depths and rusted wheel faces. Confirm matching sizes, DOT dates and casing integrity; removal/transport substantial.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
"18185","1705184","Lot including (1) size 8.25R 15TR tire with ring, (1) size 235/85R16 tire with 8-lug rim, (1) size 9...","Lot including (1) size 8.25R 15TR tire with ring, (1) size 235/85R16 tire with 8-lug rim, (1) size 9.50-16.5LT tire with 8-lug rim, and (1) size LT245/75R16 tire with 6-lug rim.","Tires and wheels","5","12","2026-09-29T22:00:00Z","","","","","Confirm sizing, date code, sidewall condition and usable tread; heavy local pickup costs.","Catalog triaged; image inspection and valuation pending","https://d1ljvnrgb7j023.cloudfront.net/files/1/489ead164e57560494e8/large","Inspected (contact sheet)","Mixed tires/rims in multiple diameters and lug patterns; weathering and rust visible. Verify each size and ring configuration; assume uncertain tire usability until professionally inspected.","Temporary GitHub Actions artifact; visual-review-batch-07.md","","","","Not researched","","","","Low"
